Unix_Timestamp,Battery,Temperature,PAR,Acceleration_X,Acceleration_Y,Acceleration_Z
1717623540,3.52,21.378,0,1006,60,384
1717624140,3.52,21.336,0.1,1027,68,387
1717624740,3.52,21.303,0,1004,62,384
1717625340,3.52,21.336,-0.1,1006,62,384
1717625940,3.52,21.437,0,1000,57,380
1717626540,3.52,21.504,0,1107,104,236
1717627140,3.52,21.554,0,1132,102,192
1717627740,3.52,21.579,0,1120,108,204
1717628340,3.52,21.605,0.1,1136,96,180
1717628940,3.52,21.638,0,1103,102,248
1717629540,3.52,21.529,-0.1,1120,104,208
1717630140,3.52,21.462,0,1004,60,384
1717630740,3.52,21.462,-0.1,1136,80,184
1717631340,3.52,21.42,0,1139,80,184
1717631940,3.52,21.437,-0.1,1039,70,380
1717632540,3.52,21.395,0,1006,64,388
1717633140,3.52,21.194,0,1070,86,338
1717633740,3.52,21.068,0,1096,100,272
1717634340,3.52,21.034,0,1139,80,184
1717634940,3.52,21.009,-0.1,1096,100,264
1717635540,3.52,20.976,-0.1,1008,64,387
1717636140,3.52,20.959,0,1104,104,252
1717636740,3.52,20.942,0,1120,104,206
1717637340,3.52,20.917,0,1140,80,176
1717637940,3.52,20.909,0,1009,64,387
1717638540,3.52,20.858,0,1011,68,390
1717639140,3.52,20.816,-0.1,1004,62,385
1717639740,3.52,20.783,-0.1,1000,62,384
1717640340,3.52,20.766,0,1008,64,385
1717640940,3.52,20.842,0,1139,84,184
1717641540,3.52,20.993,0.1,1011,64,387
1717642140,3.52,21.051,0.3,1110,104,228
1717642740,3.52,21.043,0.5,1127,103,192
1717643340,3.52,21.026,0.7,1144,68,198
1717643940,3.52,21.009,1.2,1112,104,220
1717644540,3.52,21.018,1.3,1144,76,192
1717645140,3.52,21.076,2.1,1105,102,248
1717645740,3.52,21.068,2.6,1008,62,384
1717646340,3.52,21.076,3.2,1137,83,180
1717646940,3.52,21.118,4.4,1057,80,352
1717647540,3.52,21.118,3.5,1006,62,380
1717648140,3.52,21.11,5.4,1068,84,336
1717648740,3.52,21.135,4.9,999,60,380
1717649340,3.52,21.194,8.3,1142,76,188
1717649940,3.52,21.227,8.8,1102,102,252
1717650540,3.52,21.244,8.4,1039,72,376
1717651140,3.52,21.244,7.9,1039,72,376
1717651740,3.52,21.253,8.6,1108,104,240
